ticker,mktshare,ipo_date
002164.SZ,"445,625,000.00",8/23/2007
002165.SZ,"539,274,768.00",9/13/2007
002166.SZ,"145,760,454.00",9/13/2007
002167.SZ,"620,946,000.00",9/13/2007
002168.SZ,"757,104,768.00",9/19/2007
002169.SZ,"266,472,375.00",9/19/2007
002170.SZ,"876,780,499.00",9/19/2007
002171.SZ,"398,203,374.00",9/21/2007
002172.SZ,"694,881,462.00",9/21/2007
002173.SZ,"205,000,000.00",9/25/2007
002174.SZ,"275,709,972.00",9/25/2007
002175.SZ,"230,565,838.00",10/12/2007
002176.SZ,"1,150,947,397.00",10/12/2007
002177.SZ,"761,191,294.00",11/1/2007
002178.SZ,"730,103,059.00",11/1/2007
002179.SZ,"602,514,884.00",11/1/2007
002180.SZ,"422,736,618.00",11/13/2007
002181.SZ,"1,161,058,174.00",11/16/2007
002182.SZ,"288,000,000.00",11/13/2007
002183.SZ,"1,037,583,860.00",11/13/2007
002184.SZ,"220,000,000.00",11/16/2007
002185.SZ,"697,034,673.00",11/20/2007
002186.SZ,"308,463,955.00",11/20/2007
002187.SZ,"342,422,568.00",11/22/2007
002188.SZ,"156,000,000.00",11/22/2007
002189.SZ,"199,240,000.00",12/3/2007
002190.SZ,"345,188,382.00",12/3/2007
002191.SZ,"1,315,500,000.00",12/5/2007
002192.SZ,"173,103,469.00",12/5/2007
002193.SZ,"160,000,000.00",12/7/2007
002194.SZ,"555,880,000.00",12/7/2007
002195.SZ,"871,732,720.00",12/12/2007
002196.SZ,"178,794,044.00",12/12/2007
002197.SZ,"425,351,752.00",12/18/2007
002198.SZ,"507,509,848.00",12/18/2007
002199.SZ,"243,442,363.00",12/21/2007
002200.SZ,"184,132,890.00",12/21/2007
002201.SZ,"255,744,208.00",12/26/2007
002202.SZ,"2,735,541,000.00",12/26/2007
002203.SZ,"1,671,401,113.00",1/16/2008
002204.SZ,"965,685,016.00",1/16/2008
002205.SZ,"116,152,018.00",1/23/2008
002206.SZ,"449,770,500.00",1/23/2008
002207.SZ,"239,177,378.00",1/28/2008
002208.SZ,"320,100,000.00",1/28/2008
002209.SZ,"195,244,050.00",1/30/2008
002210.SZ,"747,909,677.00",1/30/2008
002211.SZ,"432,475,779.00",2/1/2008
002212.SZ,"510,260,000.00",2/1/2008
002213.SZ,"206,000,000.00",2/1/2008
002214.SZ,"458,666,666.00",2/18/2008
002215.SZ,"914,973,774.00",2/18/2008
002216.SZ,"804,217,532.00",2/20/2008
002217.SZ,"1,078,428,000.00",2/20/2008
002218.SZ,"618,171,052.00",2/28/2008
002219.SZ,"756,504,132.00",3/6/2008
002220.SZ,"464,727,200.00",2/28/2008
002221.SZ,"692,346,184.00",3/6/2008
002222.SZ,"285,000,000.00",3/19/2008
002223.SZ,"584,767,040.00",4/18/2008
002224.SZ,"654,669,698.00",4/25/2008
002225.SZ,"890,059,161.00",4/25/2008
002226.SZ,"791,278,992.00",5/6/2008
002227.SZ,"219,461,900.00",5/6/2008
002228.SZ,"372,490,118.00",5/8/2008
002229.SZ,"298,186,000.00",5/8/2008
002230.SZ,"1,285,447,489.00",5/12/2008
002231.SZ,"356,800,000.00",5/12/2008
002232.SZ,"408,548,455.00",5/9/2008
002233.SZ,"894,655,969.00",5/16/2008
002234.SZ,"302,046,632.00",5/16/2008
002235.SZ,"195,000,000.00",5/16/2008
002236.SZ,"1,160,337,257.00",5/20/2008
002237.SZ,"910,400,000.00",5/20/2008
002238.SZ,"514,461,000.00",5/26/2008
002239.SZ,"1,072,973,059.00",5/22/2008
002240.SZ,"490,704,000.00",5/23/2008
002241.SZ,"1,526,431,986.00",5/22/2008
002242.SZ,"767,755,000.00",5/28/2008
002243.SZ,"364,948,956.00",5/28/2008
002244.SZ,"2,704,000,000.00",5/29/2008
002245.SZ,"973,611,465.00",6/5/2008
002246.SZ,"413,686,536.00",6/5/2008
002247.SZ,"264,607,000.00",6/12/2008
002248.SZ,"307,495,600.00",6/12/2008
002249.SZ,"1,722,822,700.00",6/19/2008
002250.SZ,"835,113,322.00",6/19/2008
002251.SZ,"778,985,474.00",6/19/2008
002252.SZ,"2,756,259,834.00",6/23/2008
002253.SZ,"139,245,600.00",6/23/2008
002254.SZ,"610,833,600.00",6/25/2008
002255.SZ,"516,400,000.00",6/25/2008
002256.SZ,"315,243,500.00",6/25/2008
002258.SZ,"202,444,033.00",7/8/2008
002259.SZ,"643,320,000.00",7/16/2008
002260.SZ,"265,200,000.00",7/16/2008
002261.SZ,"443,269,665.00",7/23/2008
002262.SZ,"485,166,833.00",7/23/2008
002263.SZ,"939,180,050.00",7/28/2008
002264.SZ,"541,501,975.00",7/31/2008
002265.SZ,"291,026,000.00",8/6/2008
002266.SZ,"1,978,719,849.00",8/6/2008
002267.SZ,"1,112,075,445.00",8/13/2008
002268.SZ,"432,523,346.00",8/11/2008
002269.SZ,"2,526,000,000.00",8/28/2008
002270.SZ,"189,150,000.00",9/5/2008
002271.SZ,"832,471,272.00",9/10/2008
002272.SZ,"419,700,000.00",9/19/2008
002273.SZ,"436,612,083.00",9/19/2008
002274.SZ,"634,909,764.00",9/25/2008
002275.SZ,"590,200,000.00",7/10/2009
002276.SZ,"939,325,488.00",7/10/2009
002277.SZ,"566,122,600.00",7/17/2009
002278.SZ,"363,909,648.00",8/11/2009
002279.SZ,"197,810,840.00",8/11/2009
002280.SZ,"702,497,892.00",8/21/2009
002281.SZ,"209,889,584.00",8/21/2009
002282.SZ,"338,130,000.00",8/21/2009
002283.SZ,"559,411,764.00",8/21/2009
002284.SZ,"737,556,000.00",8/28/2009
002285.SZ,"1,445,696,230.00",8/28/2009
002286.SZ,"369,256,000.00",8/28/2009
002287.SZ,"406,000,000.00",8/28/2009
002288.SZ,"931,643,744.00",9/3/2009
002289.SZ,"186,835,822.00",9/3/2009
002290.SZ,"210,672,000.00",9/3/2009
002291.SZ,"398,921,895.00",9/3/2009
002292.SZ,"1,263,880,324.00",9/10/2009
002293.SZ,"701,815,500.00",9/10/2009
002294.SZ,"1,046,016,000.00",9/10/2009
002295.SZ,"248,600,000.00",9/29/2009
002296.SZ,"376,656,420.00",9/29/2009
002297.SZ,"398,821,011.00",9/29/2009
002298.SZ,"632,918,760.00",9/29/2009
002299.SZ,"1,110,900,000.00",10/21/2009
002300.SZ,"452,250,000.00",10/21/2009
002301.SZ,"376,143,980.00",10/21/2009
002302.SZ,"516,117,025.00",11/3/2009
002303.SZ,"1,430,400,000.00",11/3/2009
002304.SZ,"1,506,988,000.00",11/6/2009
002305.SZ,"1,455,060,310.00",11/6/2009
002306.SZ,"800,000,000.00",11/11/2009
002307.SZ,"557,327,160.00",11/11/2009
002308.SZ,"835,591,560.00",11/27/2009
002309.SZ,"572,232,308.00",11/27/2009
002310.SZ,"1,008,711,947.00",11/27/2009
